  1EC  [0150000A0 01BD 10]:16  
  1ED  [0150000B0 01BD 10]:16  
  1EE  [015000020 01BD 10]:16  
  1EF  [015000030 01BD 10]:16  
  1F0  [005000000 00A1 10]:16  
  1F1  [001000000 0178 00]:16  
  1F2  [001000000 0135 00]:16  
  1F3  [001000000 0135 00]:16  
  1F4  [015000010 01BF 10]:16  
  1F5  [015000020 01BF 01]:16  
  1F6  [015000040 017A 31]:16  
  1F7  [015000080 01BF 11]:16  
  1F8  [014000010 007E 11]:16  
  1F9  [014000020 01C0 00]:16  
  1FA  [014000040 01C0 01]:16  
  1FB  [0160000C0 01C0 11]:16  
  1FC  [006000000 1003 11]:16  
  1FD  [000000000 001A 01]:16  
  1FE  [0120000D0 10C1 01]:16  
  1FF  [0140000F0 0080 00]:16  
  200  [012000060 1002 00]:16  
  201  [601010000 0140 01]:16  
  202  [61061109B 117E 11]:16  
  203  [403010000 01C2 00]:16  
  204  [6106110EA 117E 11]:16  
  205  [010611020 0081 14]:16  
  206  [404411000 017E 01]:16  
  207  [406110320 017E 10]:16  
  208  [003100640 1193 01]:16  
  209  [006000330 010B 10]:16  
  20A  [000000000 0000 07]:16  
  20B  [615010068 0141 50]:16  
  20C  [003100640 1193 01]:16  
  20D  [006101340 010B 11]:16  
  20E  [0001105BF 1005 11]:16  
  20F  [206010310 01C3 01]:16  
  210  [000000000 0004 22]:16  
  211  [5060102B0 0084 13]:16  
  212  [000000000 010B 11]:16  
  213  [404010000 0085 04]:16  
  214  [515210080 017F 10]:16  
  215  [00600000D 0085 10]:16  
  216  [000000000 116C 00]:16  
  217  [555210000 017F 11]:16  
  218  [262311000 1002 00]:16  
  219  [641311000 0005 54]:16  
  21A  [006000360 0180 01]:16  
  21B  [306010D04 0125 00]:16  
  21C  [306010000 1129 00]:16  
  21D  [603010000 0143 01]:16  
  21E  [515611010 11B9 11]:16  
  21F  [666010350 0143 50]:15  [666010310 0143 50]:01  000000040
  220  [000000000 0088 10]:16  
  221  [000000000 0006 30]:16  
  222  [000000000 11B9 11]:16  
  223  [000000000 0087 10]:16  
  224  [303111000 0143 01]:16  
  225  [303110400 01C5 01]:16  
  226  [313211020 0181 01]:16  
  227  [610611090 008A 04]:16  
  228  [313211020 0181 01]:16  
  229  [000000000 008A 10]:16  
  22A  [010000E00 1129 00]:16  
  22B  [000000E00 001A 01]:16  
  22C  [014000080 1182 01]:16  
  22D  [000000000 008B 11]:16  
  22E  [30341100D 1182 10]:16  
  22F  [000000400 0181 11]:16  
  230  [000000000 1182 01]:16  
  231  [313211020 008C 10]:16  
  232  [00000000D 1182 10]:16  
  233  [313211410 0145 20]:16  
